task,model,language,format_mode,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,4B,twi,yaml__false,7,0.19302809573361082,9784.681000001729,3.0481872274148687,26.373803234506006,1.9727581893939794e-05
NER,4B,twi,yaml__false,8,0.1915378768685077,1590.5759999975562,0.48010141865305045,4.207873015866551,0.00012042044949050028
NER,4B,wol,yaml__false,1,0.21280724450194047,5451.94999999553,1.1287681159411034,8.285638297865546,3.9033234806283064e-05
NER,4B,wol,yaml__false,2,0.24205087440381556,3577.1369999945164,0.9725766721029137,5.873788177330897,6.766609006146161e-05
NER,4B,wol,yaml__false,3,0.2118630445266034,2919.817000001669,0.5999213067601539,4.4306783004577674,7.256038461536538e-05
NER,4B,wol,yaml__false,4,0.24144072828022956,3210.0229999944568,0.8678083265732514,5.262332786876159,7.521464122862874e-05
NER,4B,wol,yaml__false,5,0.303886925795053,3019.3980000019073,0.9512911153125102,4.388659883723703,0.00010064487218805239
NER,4B,wol,yaml__false,6,0.3573938902406055,3119.6480000019073,1.330340298508276,4.719588502272175,0.00011456224876665156
NER,4B,zul,yaml__false,1,0.2236533957845433,1327.6380000039935,0.37652807714236913,2.316994764404875,0.00016845962211376185
NER,4B,zul,yaml__false,2,0.3418982695332984,2425.6239999979734,1.0945956678691215,3.7202822085858487,0.00014095270723475033
NER,4B,zul,yaml__false,3,0.22322479403687717,5477.5689999982715,1.5650197142852205,9.62665905096357,4.075252982426102e-05
NER,4B,zul,yaml__false,4,0.341591987348445,3577.1369999945164,1.6289330601067926,5.520273148139686,9.5493124067926e-05
NER,4B,zul,yaml__false,5,0.3877182420228778,2796.2789999991655,1.621971577725734,4.342048136644667,0.00013865506339782028
NER,4B,zul,yaml__false,6,0.3639172072907012,3210.0229999944568,1.9585253203138846,5.449954159583118,0.00011336903420671117
NER,4B,zul,yaml__false,7,0.2203620790344559,3155.9730000048876,0.8917697089587137,5.5759240282771865,6.982381631088563e-05
NER,4B,zul,yaml__false,8,0.22088040514218932,3308.4560000002384,0.9356493212670357,5.835019400353154,6.676238255614504e-05
NER,70B,ewe,dst__false,1,0.8067523305618544,6386.204000003636,3.2566058133623845,3.988884447222758,0.00012632736607872143
NER,70B,ewe,dst__false,2,0.8174178762414056,6839.6500000059605,3.564174048986952,4.261464174458542,0.00011951165282444179
NER,70B,ewe,dst__false,3,0.8072653884964681,2789.4719999954104,1.4261104294455063,1.7434199999971316,0.0002893972007956331
NER,70B,ewe,dst__false,4,0.8147582697201017,2838.814999997616,1.477010926117386,1.773151155526306,0.0002870064691502567
NER,70B,ewe,dst__false,5,0.8100628930817609,6651.451000005007,3.3815205897330993,4.131336024847831,0.00012178739542411891
NER,70B,ewe,dst__false,6,0.8322760720629282,6704.69999999553,3.4685463010840816,4.088231707314347,0.00012413323072821798
NER,70B,ewe,dst__false,7,0.8061507436349887,2806.7910000011325,1.4327672281782198,1.7553414634153424,0.00028721438241559967
NER,70B,ewe,dst__false,8,0.8063540090771557,2898.539999999106,1.4803575076604218,1.8127204502808667,0.0002781931624464056
NER,70B,hau,dst__false,1,0.6875090461716602,11228.483000002801,3.156728422829014,4.7277823157906536,6.122902320567156e-05
NER,70B,hau,dst__false,2,0.694473409801877,11197.672000002116,3.331648914014316,4.803806091806999,6.201944563135495e-05
NER,70B,hau,dst__false,3,0.6942172478117377,6244.216000001878,1.7263522256018462,2.581321207111152,0.00011117764789231008
NER,70B,hau,dst__false,4,0.7072886297376093,6358.843999996781,1.8126693272510779,2.621122835942614,0.00011122912116384162
NER,70B,hau,dst__false,5,0.705242483758876,11608.988000001758,3.5534092439552367,4.973859468723975,6.074969530149994e-05
