task,model,language,param_changed,param_value,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,nya,batch_size,512,8,0.36385776911836337,18483.035000000003,16.38566932624114,24.743018741633204,1.968604015078494e-05
NER,12B,pcm,batch_size,512,1,0.6278558875219684,27795.382999999994,10.711130250481693,19.450932820153948,2.2588495633320418e-05
NER,12B,pcm,batch_size,512,2,0.6451759364358685,17119.009000000005,6.993059232026146,12.047156228008447,3.7687691877249916e-05
NER,12B,pcm,batch_size,512,3,0.5968266883645239,18268.767999999996,6.173966880702939,12.45314792092706,3.2669235734151534e-05
NER,12B,pcm,batch_size,512,4,0.6442244224422443,6745.728000000003,2.6065409582689347,4.607737704918034,9.550109675964463e-05
NER,12B,pcm,batch_size,512,5,0.6460613865636402,15121.831000000006,5.596532568467803,10.047728239202662,4.272375392660055e-05
NER,12B,pcm,batch_size,512,6,0.7173507462686567,12076.898000000016,5.18099442299443,7.852339401820556,5.9398592773463496e-05
NER,12B,pcm,batch_size,512,7,0.6323039324594535,4156.728999999992,1.633934355345909,2.9211026001405425,0.0001521157459289395
NER,12B,pcm,batch_size,512,8,0.5004727387330602,33169.51299999998,27.27756003289472,41.77520528967251,1.5088335446259357e-05
NER,12B,swa,batch_size,512,1,0.6390996459281739,8931.240999937057,2.1387071360002534,3.534325682602714,7.155776514514365e-05
NER,12B,swa,batch_size,512,2,0.6396982310093652,7636.652000069618,1.930397371099499,3.1055925173117602,8.376684324538207e-05
NER,12B,swa,batch_size,512,3,0.569427377734087,7817.876999974251,1.7743706309519407,3.3741376780208245,7.283657414103119e-05
NER,12B,swa,batch_size,512,4,0.6209000762776505,7077.038999915123,1.7119107401826616,2.8980503685156114,8.7734443216308e-05
NER,12B,swa,batch_size,512,5,0.6093986862051541,7585.8550000190735,1.813062858513163,3.145047678283198,8.033355319916106e-05
NER,12B,swa,batch_size,512,6,0.6306510515048482,7419.74899995327,1.7628294131511688,2.9631585463072163,8.499627837933873e-05
NER,12B,swa,batch_size,512,7,0.6079363040965712,6340.338999986649,1.5635854500583597,2.678639205740029,9.588388004140652e-05
NER,12B,swa,batch_size,512,8,0.46153846153846156,18036.069000005722,10.282821550744424,14.24650000000452,2.5589748050881548e-05
NER,12B,tsn,batch_size,512,1,0.6482712765957447,10207.06799999997,6.0720214158238965,10.468787692307663,6.351199743116697e-05
NER,12B,tsn,batch_size,512,2,0.6861952861952862,6224.344999999739,3.788402312842203,6.108287536800528,0.00011024377443655757
NER,12B,tsn,batch_size,512,3,0.6103856665654419,6378.39400000032,3.244350966429461,6.3466606965177315,9.569582352006026e-05
NER,12B,tsn,batch_size,512,4,0.6944809461235216,7226.393999999855,4.208732673267242,6.8367019867548295,9.610338795857734e-05
NER,12B,tsn,batch_size,512,5,0.634567901234568,6072.68200000003,3.174428646105609,5.90727821011676,0.00010449549329844126
NER,12B,tsn,batch_size,512,6,0.65929203539823,7480.728000000119,4.07225258573768,7.172318312560037,8.813206888396684e-05
NER,12B,tsn,batch_size,512,7,0.6078042328042328,3847.6170000000857,2.267305244549255,4.186743199129582,0.00015796900595984977
NER,12B,tsn,batch_size,512,8,0.42300194931773877,5355.063000000082,7.386293793103562,12.338854838709864,7.899103135065494e-05
NER,12B,twi,batch_size,512,1,0.5258455647734526,7689.378999999724,8.241563772775695,18.663541262135254,6.838596000710479e-05
NER,12B,twi,batch_size,512,2,0.560558021559924,5689.350000000093,6.033244962884511,12.871832579185732,9.85276036032086e-05
NER,12B,twi,batch_size,512,3,0.4632272228320527,9412.677000000142,7.923128787878907,22.304921800948204,4.921312213645977e-05
NER,12B,twi,batch_size,512,4,0.5896464646464648,4790.543000000063,5.04267684210533,10.258122055674654,0.00012308551758046153
NER,12B,twi,batch_size,512,5,0.6041250831669993,6933.561999999918,7.978782508630515,15.272162995594531,8.713055182415712e-05
NER,12B,twi,batch_size,512,6,0.6085271317829457,9084.790999999736,9.939596280087239,19.288303609341263,6.698306342798237e-05
NER,12B,twi,batch_size,512,7,0.4789968652037617,5120.398999999743,5.3281987513004605,13.404185863873673,9.354678516338e-05
NER,12B,twi,batch_size,512,8,0.3324348607367476,15313.689999999944,31.970125260960216,82.7767027027024,2.1708344673083287e-05
NER,12B,wol,batch_size,512,1,0.4967197750702906,8613.584000000264,4.663553871142536,10.834696855346245,5.766702630058235e-05
NER,12B,wol,batch_size,512,2,0.5753158406219631,7857.784000000451,4.534208886324553,8.848855855856364,7.321604165015609e-05
NER,12B,wol,batch_size,512,3,0.3941605839416058,9273.954999999609,3.73648468976616,12.267136243385727,4.250188662136299e-05
NER,12B,wol,batch_size,512,4,0.582438408085913,4452.003999999724,2.456955849889473,4.828637744034408,0.00013082611967238776
NER,12B,wol,batch_size,512,5,0.5993421052631579,4041.270999999717,2.396957888493308,4.436082327112752,0.0001483053488031859
NER,12B,wol,batch_size,512,6,0.6129467296021578,6498.629999999888,4.031408188585538,7.149207920791956,9.431937648430028e-05
NER,12B,wol,batch_size,512,7,0.43333333333333335,4472.776999999769,2.1649453049369645,6.036136302293885,9.688239170728961e-05
NER,12B,wol,batch_size,512,8,0.2808937528499772,21517.478999999817,25.6465780691297,69.86194480519421,1.3054212942416701e-05
NER,12B,xho,batch_size,512,1,0.4127408993576017,13374.895000000019,11.305912933220641,17.347464332036342,3.085937492276397e-05
NER,12B,xho,batch_size,512,2,0.5320631970260223,11469.030999999959,6.549989149057658,10.016620960698654,4.639129469839468e-05
NER,12B,xho,batch_size,512,3,0.44358727097396333,9052.152000000002,5.6753304075235125,9.839295652173915,4.9003515514759724e-05
NER,12B,xho,batch_size,512,4,0.5586769370185772,15468.893000000156,8.31214024717902,12.545736415247491,3.611615498397795e-05
NER,12B,xho,batch_size,512,5,0.5370370370370371,4643.378999999957,2.627831918505918,4.002912931034446,0.00011565651587713216
NER,12B,xho,batch_size,512,6,0.5240088648116228,6731.002000000095,4.463529177718896,6.3261296992482094,7.785005335188066e-05
NER,12B,xho,batch_size,512,7,0.5013637490701711,8196.87900000019,5.538431756756885,8.107694362017993,6.116520069042858e-05
NER,12B,xho,batch_size,512,8,0.31113730111962284,25562.699000000022,30.39559928656364,48.4142026515152,1.2171535608177468e-05
NER,12B,yor,batch_size,512,1,0.44686234817813764,14612.837,6.480193791574279,16.54907927519819,3.0580122681046645e-05
NER,12B,yor,batch_size,512,2,0.48570679255179644,12168.896999999997,5.750896502835538,13.141357451403884,3.9913789438089297e-05
NER,12B,yor,batch_size,512,3,0.420545746388443,14003.865000000005,5.256706081081083,15.271390403489645,3.003069126904914e-05
NER,12B,yor,batch_size,512,4,0.48462929475587696,10611.649999999994,4.88116375344986,11.31305970149253,4.5669551366269826e-05
NER,12B,yor,batch_size,512,5,0.5687413554633471,9604.906000000017,5.007771637122011,9.343293774319083,5.921363056164695e-05
NER,12B,yor,batch_size,512,6,0.609387867142465,12061.464999999997,6.198080678314489,10.866184684684681,5.0523536497636495e-05
NER,12B,yor,batch_size,512,7,0.4628185127405096,12130.63300000003,5.644780362959531,13.629924719101158,3.8152874028956974e-05
